name,num_atoms,pred_energy
Axitinib,28,0.59447181224823
AZD6244 (Selumetinib),27,0.7013837099075317
Nintedanib (BIBF 1120),40,0.5952696800231934
Bortezomib (Velcade),28,0.604698657989502
Bosutinib (SKI-606),36,0.616945743560791
Dasatinib,33,0.6106352210044861
Deforolimus (MK-8669) ,71,0.6395170092582703
Gefitinib (ZD1839),31,0.6173263788223267
Imatinib Mesylate (STI571),42,0.6631733179092407
Lapatinib (GW-572016) Ditosylate,62,0.6522531509399414
Lenalidomide (CC-5013),19,0.5917762517929077
Panobinostat (LBH589),26,0.600449800491333
Nilotinib (AMN-107),39,0.6182488799095154
Pazopanib HCl,32,0.7192234992980957
Rapamycin (Sirolimus),65,0.60234534740448
Sorafenib Tosylate,43,0.6572403311729431
Sunitinib Malate,38,0.6060003042221069
"Vorinostat (SAHA, MK0683)",19,0.6044358015060425
"Entinostat (MS-275, SNDX-275)",28,0.6005377769470215
Enzastaurin (LY317615),39,0.586889386177063
"Olaparib (AZD2281, Ku-0059436)",32,0.5921744108200073
Masitinib (AB1010),36,0.592963457107544
Vismodegib (GDC-0449),27,0.6465777158737183
Belinostat (PXD101),22,0.6417765617370605
"Rucaparib (AG-014699,PF-01367338) phosphate",29,0.6746373176574707
Everolimus (RAD001),68,0.6026599407196045
"Cabozantinib (XL184, BMS-907351)",37,0.5914865732192993
Malotilate,18,0.6193983554840088
Ivacaftor (VX-770),29,0.5929903388023376
Docetaxel (Taxotere),58,0.6047967672348022
Paclitaxel (Taxol),62,0.6016383171081543
Capecitabine (Xeloda),25,0.6042340397834778
Regorafenib (BAY 73-4506),33,0.6314172744750977
Danoprevir (ITMN-191),51,0.6391776204109192
Ritonavir,50,0.6044890880584717
Anastrozole,22,0.5855007171630859
Aprepitant (MK-0869),37,0.622502863407135
Bicalutamide (Casodex),29,0.6385577917098999
Fulvestrant (Faslodex),44,0.6321055889129639
Raltitrexed (Tomudex),32,0.6065089106559753
Exemestane,25,0.5866031646728516
Cladribine,19,0.6223622560501099
Decitabine,16,0.5955474376678467
Dutasteride,41,0.6233493685722351
Tivozanib (AV-951),32,0.6150956153869629
Doxorubicin (Adriamycin) HCl,41,0.7333348989486694
Adrucil (Fluorouracil),9,0.5986623764038086
Abitrexate (Methotrexate),33,0.6040364503860474
Bendamustine HCL ,24,0.7305124998092651
Nelarabine (Arranon),21,0.5943459868431091
Clofarabine,20,0.6223288178443909
Dexrazoxane Hydrochloride,20,0.7295835614204407
Epirubicin Hydrochloride,41,0.7333348989486694
"Etoposide (VP-16)
Etoposide",47,0.6035146713256836
Evista (Raloxifene Hydrochloride),35,0.7231692671775818
Fludarabine Phosphate (Fludara),24,0.6675201654434204
Topotecan HCl,32,0.7232477068901062
2-Methoxyestradiol,25,0.5890317559242249
Letrozole,22,0.5794638395309448
Temozolomide,14,0.5947449207305908
Agomelatine,18,0.5908370018005371
Leflunomide,19,0.6213995814323425
MDV3100 (Enzalutamide),32,0.6230759620666504
Dienogest,25,0.5877630710601807
Nepafenac,19,0.5909355282783508
Posaconazole,51,0.5933544635772705
Prasugrel (Effient),26,0.6017294526100159
Ramelteon,19,0.5874557495117188
