name,num_atoms,pred_energy
Axitinib,28,0.6267335414886475
AZD6244 (Selumetinib),27,0.7588074207305908
Nintedanib (BIBF 1120),40,0.6202656626701355
Bortezomib (Velcade),28,0.6184641122817993
Bosutinib (SKI-606),36,0.6545572280883789
Dasatinib,33,0.647692084312439
Deforolimus (MK-8669) ,71,0.6793312430381775
Gefitinib (ZD1839),31,0.65793377161026
Imatinib Mesylate (STI571),42,0.7196067571640015
Lapatinib (GW-572016) Ditosylate,62,0.6951212882995605
Lenalidomide (CC-5013),19,0.6085878610610962
Panobinostat (LBH589),26,0.6220024228096008
Nilotinib (AMN-107),39,0.661372721195221
Pazopanib HCl,32,0.8210313320159912
Rapamycin (Sirolimus),65,0.6172668933868408
Sorafenib Tosylate,43,0.6921405792236328
Sunitinib Malate,38,0.6207354068756104
"Vorinostat (SAHA, MK0683)",19,0.6187301874160767
"Entinostat (MS-275, SNDX-275)",28,0.6190310716629028
Enzastaurin (LY317615),39,0.6137325167655945
"Olaparib (AZD2281, Ku-0059436)",32,0.617910623550415
Masitinib (AB1010),36,0.6326851844787598
Vismodegib (GDC-0449),27,0.6728137731552124
Belinostat (PXD101),22,0.6750102043151855
"Rucaparib (AG-014699,PF-01367338) phosphate",29,0.7233293056488037
Everolimus (RAD001),68,0.616832971572876
"Cabozantinib (XL184, BMS-907351)",37,0.614653468132019
Malotilate,18,0.6269317865371704
Ivacaftor (VX-770),29,0.6223692893981934
Docetaxel (Taxotere),58,0.6228973865509033
Paclitaxel (Taxol),62,0.6195570230484009
Capecitabine (Xeloda),25,0.6055749654769897
Regorafenib (BAY 73-4506),33,0.6606819033622742
Danoprevir (ITMN-191),51,0.6769955158233643
Ritonavir,50,0.6290187835693359
Anastrozole,22,0.6214213371276855
Aprepitant (MK-0869),37,0.6514973640441895
Bicalutamide (Casodex),29,0.6714752912521362
Fulvestrant (Faslodex),44,0.6804778575897217
Raltitrexed (Tomudex),32,0.6242507696151733
Exemestane,25,0.6707887649536133
Cladribine,19,0.6428180932998657
