hidden_dim,gnn_out_dim,num_layers,lr,val_loss,best_epoch
64,64,3,0.001,0.23942383162436948,49
64,64,3,0.0001,0.32800711619277156,49
64,64,3,0.0005,0.2440202560636305,25
64,64,4,0.001,0.24400818408016237,19
64,64,4,0.0001,0.3097767858735977,35
64,64,4,0.0005,0.2677260612047488,32
64,128,3,0.001,0.2153037828543494,36
64,128,3,0.0001,0.3069676158408965,49
64,128,3,0.0005,0.2568504514713441,43
64,128,4,0.001,0.23717496496054433,29
64,128,4,0.0001,0.2842305725620639,49
64,128,4,0.0005,0.2191392986043807,37
128,64,3,0.001,0.2670669812829264,42
128,64,3,0.0001,0.30373502042024364,42
128,64,3,0.0005,0.24922278691684047,46
128,64,4,0.001,0.22241822522013419,41
128,64,4,0.0001,0.29505949731796016,48
128,64,4,0.0005,0.2528839315618238,43
128,128,3,0.001,0.24115987843082798,41
128,128,3,0.0001,0.28930071236625793,33
128,128,3,0.0005,0.26203539174410606,11
128,128,4,0.001,0.1977203008869002,41
128,128,4,0.0001,0.3192963442735134,40
128,128,4,0.0005,0.24186805010803283,30
