seed,n_predicted_drugs,mean_abs_error,median_abs_error,rmse
1,6,0.07460039464632671,0.07573505020141602,0.09443759254473393
2,6,0.10245818873246508,0.10875472068786615,0.12210514314486039
3,6,0.20904750053087873,0.22119656252861022,0.24217398927848108
4,6,0.29617416286468506,0.2972969417572021,0.3083175492418031
5,6,0.4345817508697511,0.43901035070419314,0.46113150651100016
6,6,0.3583632650375366,0.3777852380275727,0.37213398099509376
7,6,0.09212533740202589,0.07682558703422548,0.10477671881193248
8,6,0.09457128353913628,0.09669305264949798,0.10353125710801779
9,6,0.10526727700233462,0.09617662191390988,0.12468376876557972
10,6,0.5874431808789571,0.5542334024906158,0.6434708007871555
