,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,Soil type
0,3543,8771,12695,18331,21857,24648,25609,21029,11485,7207,732,467,204,136,71,43,19,14,12,140,501,264,148,62,53,50,33,20,14,133,604,475,187,109,40,35,22,20,16,290,1372,2783,1904,1723,1006,433,117,22,9,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
1,3129,14936,34491,44586,37707,28702,15504,5177,1555,727,514,26,0,0,0,0,0,0,0,0,185,3,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,115,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
2,209,466,3223,26752,29960,6095,1203,488,260,991,3,42,50,36,29,44,28,28,21,345,7,30,31,22,16,20,18,19,20,114,17,106,132,136,90,127,77,86,70,373,23,178,347,408,262,276,155,122,81,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
3,954,5616,12421,24470,36124,30151,14124,6237,3099,4084,112,261,57,18,1,9,0,2,3,26,6,6,10,3,1,0,0,0,1,2,11,4,11,6,2,8,2,4,4,21,33,13,20,25,36,37,29,17,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
4,0,0,20,5055,3997,774,128,20,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
5,0,0,27,5314,7748,3166,980,249,106,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
6,4603,36983,28279,3160,77,8,5,0,0,1,189,60,10,0,0,0,0,0,0,0,197,214,250,197,30,7,0,1,0,0,784,587,596,368,94,11,0,0,0,0,786,233,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
7,14275,11799,4912,1954,641,301,149,91,59,547,501,34,9,6,1,2,1,1,1,15,691,83,14,6,2,3,2,0,0,6,3012,557,106,50,20,11,10,8,2,56,7770,3930,989,396,113,92,35,45,28,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
8,8,0,0,0,694,8551,5986,1137,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
9,122,6571,7187,1541,493,226,98,47,29,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial soil
